station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
210,1986-08-06,4,temp_C,22,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,5,temp_C,22,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,6,temp_C,21.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,7,temp_C,20.7,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,8,temp_C,18.7,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,9,temp_C,17.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,10,temp_C,15.9,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,11,temp_C,14.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,12,temp_C,12.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,13,temp_C,11.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,14,temp_C,10.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,15,temp_C,10.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,20,temp_C,9,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,25,temp_C,8.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,30,temp_C,8.2,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,0.1,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,1,DO_mgl,8.5,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,2,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,3,DO_mgl,8.6,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,25,DO_mgl,6.7,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,30,DO_mgl,5.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,0.1,DO_pctsat,96,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,1,DO_pctsat,96,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,8,DO_mgl,8.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,9,DO_mgl,8.8,actual,trophic reports (Woody),pelagic,NA,NA
210,1986-08-06,10,DO_mgl,8.7,actual,trophic reports (Woody),pelagic,NA,NA
