date,stream_no,TP_mmolm3,TN_mmolm3,DOC_mmolm3,flag,source
2016-08-07,750,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2016-07-20,830,0.8071347874092527,NA,NA,NA,LSPA LMP VLAP
2016-07-20,505,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2016-07-20,665,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-07-20,790,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2016-07-20,805,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2016-07-20,788,0.7102786129201423,NA,NA,NA,LSPA LMP VLAP
2016-07-20,800,0.581137046934662,NA,NA,NA,LSPA LMP VLAP
2016-07-14,790,0.8717055704019929,NA,NA,NA,LSPA LMP VLAP
2016-07-14,788,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-07-14,800,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2016-07-14,830,0.9362763533947331,NA,NA,NA,LSPA LMP VLAP
2016-07-14,665,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2016-07-14,505,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2016-07-14,805,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2016-07-06,510,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2016-07-06,790,0.8717055704019929,NA,NA,NA,LSPA LMP VLAP
2016-07-06,788,1.0654179193802136,NA,NA,NA,LSPA LMP VLAP
2016-07-06,800,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2016-07-06,665,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-07-06,505,1.0654179193802136,NA,NA,NA,LSPA LMP VLAP
2016-07-06,805,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2016-07-05,835,4.390813243506336,NA,NA,NA,LSPA LMP VLAP
2016-07-05,830,1.0331325278838435,NA,NA,NA,LSPA LMP VLAP
2016-07-05,790,1.194559485365694,NA,NA,NA,LSPA LMP VLAP
2016-07-05,670,1.2268448768620641,NA,NA,NA,LSPA LMP VLAP
2016-07-05,788,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2016-06-26,665,0.7748493959128826,NA,NA,NA,LSPA LMP VLAP
2016-06-26,805,0.8717055704019929,NA,NA,NA,LSPA LMP VLAP
2016-06-26,788,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2016-06-26,505,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2016-06-26,830,1.0654179193802136,NA,NA,NA,LSPA LMP VLAP
2016-06-26,790,1.0654179193802136,NA,NA,NA,LSPA LMP VLAP
2016-06-09,805,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2016-06-09,790,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2016-06-09,788,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2016-06-09,665,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2016-06-09,505,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2016-06-09,830,0.7748493959128826,NA,NA,NA,LSPA LMP VLAP
2016-06-08,670,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2016-06-07,505,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2016-06-07,510,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2016-06-06,835,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-06-06,830,1.1299887023729538,NA,NA,NA,LSPA LMP VLAP
2016-06-06,790,0.7748493959128826,NA,NA,NA,LSPA LMP VLAP
2016-06-06,788,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2016-06-06,805,1.162274093869324,NA,NA,NA,LSPA LMP VLAP
2016-06-06,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-06-06,800,1.0654179193802136,NA,NA,NA,LSPA LMP VLAP
2016-06-06,665,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2016-06-05,750,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2016-06-05,760,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2016-06-05,540,0.9362763533947331,NA,NA,NA,LSPA LMP VLAP
2016-05-31,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-05-31,830,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2016-05-31,665,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2016-05-31,805,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2016-05-31,788,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-05-31,790,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-05-11,510,0.09685617448911032,NA,NA,BDL,LSPA LMP VLAP
2016-05-11,505,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2016-05-10,670,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2016-05-10,830,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2016-05-10,835,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2016-05-09,800,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-05-09,540,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2016-05-09,805,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-05-08,788,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2016-05-08,790,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2015-10-07,505,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2015-10-07,510,0.06457078299274022,NA,NA,BDL,LSPA LMP VLAP
2015-10-06,830,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2015-10-06,835,0.06457078299274022,NA,NA,BDL,LSPA LMP VLAP
2015-10-06,788,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2015-10-06,790,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2015-10-05,805,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2015-10-05,800,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2015-10-04,540,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2015-10-04,670,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2015-09-10,790,0.7102786129201423,NA,NA,NA,LSPA LMP VLAP
2015-09-10,788,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2015-09-01,505,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2015-09-01,670,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
