time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads
1981-12-24,1.93102397478216,0,0.962517099386827,125,12.5,10.3598071025529,2.58995177563824,2.58995177563824,10.3598071025529,0.0074493408018777,0.0362366239006593,0.0825740488886104,0.126260013591147
1981-12-25,1.93102397478216,0,0.962637599228417,125,12.5,15.0975423380732,3.7743855845183,3.7743855845183,15.0975423380732,0.00872369103248827,0.042435581802104,0.0966998972075818,0.147859170042174
1981-12-26,1.93102397478216,0,0.962637599228417,125,12.5,74.2176175392338,18.5544043848085,18.5544043848085,74.2176175392338,0.0124437659664098,0.060531539531519,0.137935982068339,0.210911287566268
1981-12-27,1.93102397478216,0,0.962637599228417,125,12.5,9.8728661693138,2.46821654232845,2.46821654232845,9.8728661693138,0.0103727932336516,0.0504574857297969,0.114979775844206,0.175810054807655
1981-12-28,1.93102397478216,0,0.962637599228417,125,12.5,73.4670701328899,18.3667675332225,18.3667675332225,73.4670701328899,0.0104584476453682,0.0508741436308588,0.115929233221539,0.177261824497766
1981-12-29,1.93102397478216,0,0.962637599228417,125,12.5,43.6948612369254,10.9237153092313,10.9237153092313,43.6948612369254,0.00613201788294799,0.0298286293628148,0.0679718592448811,0.103932506490644
1981-12-30,1.93102397478216,0,0.962637599228417,125,12.5,31.4502838985559,7.86257097463898,7.86257097463898,31.4502838985559,0.00792423223535078,0.0385466890092487,0.0878380996935494,0.134309020938149
1981-12-31,1.93102397478216,0,0.962637599228417,125,12.5,38.2447068036344,9.56117670090861,9.56117670090861,38.2447068036344,0.0094218934124898,0.0458319221929589,0.104439293080819,0.159693108686268
1982-01-01,1.93102397478216,0,0.962637599228417,125,12.5,11.0533591379738,2.76333978449345,2.76333978449345,11.0533591379738,0.0091196945600437,0.0443619040463143,0.101089495631671,0.154571094238029
1982-01-02,1.93102397478216,0,0.962637599228417,125,12.5,20.2164135228678,5.05410338071695,5.05410338071695,20.2164135228678,0.00879699801854232,0.0427921768020618,0.0975124865106216,0.149101661331226
1982-01-03,1.93102397478216,0,0.962637599228417,125,12.5,35.9496799550836,8.98741998877091,8.98741998877091,35.9496799550836,0.0082777593719509,0.0402663888093205,0.0917568581229812,0.140301006304253
1982-01-04,1.93102397478216,0,0.960186693675954,125,12.5,23.7553546313624,5.9388386578406,5.9388386578406,23.7553546313624,0.0127141705313563,0.0618468973304959,0.140933347923848,0.2154944157857
1982-01-05,1.93102397478216,0,0.960019690488994,125,12.5,13.8427208314473,3.46068020786182,3.46068020786182,13.8427208314473,0.010247396020687,0.0498475026769011,0.113589779619141,0.173684678316729
1982-01-06,1.93102397478216,0,0.962470596041457,125,12.5,17.4477740625721,4.36194351564301,4.36194351564301,17.4477740625721,0.00909167183947718,0.044225590134406,0.100778870898611,0.154096132872495
1982-01-07,1.93102397478216,0,0.965119968829982,125,12.5,8.38925885936716,2.09731471484179,2.09731471484179,8.38925885936716,0.00781438037238216,0.0380123248622658,0.0866204197209819,0.13244712495563
1982-01-08,1.93102397478216,0,0.962637599228417,125,12.5,38.4768910357622,9.61922275894054,9.61922275894054,38.4768910357622,0.00616730130671563,0.0300002622885997,0.0683629670269834,0.104530530622299
1982-01-09,1.93102397478216,0,0.962637599228417,125,12.5,24.7074152411024,6.17685381027561,6.17685381027561,24.7074152411024,0.0094644749433848,0.0460390560805329,0.104911298524977,0.160414829548895
1982-01-10,1.93102397478216,0,0.962637599228417,125,12.5,12.9782289167682,3.24455722919206,3.24455722919206,12.9782289167682,0.0077025368870162,0.0374682726537907,0.0853806631204846,0.130551472661291
1982-01-11,1.93102397478216,0,0.962637599228417,125,12.5,52.1695006591813,13.0423751647953,13.0423751647953,52.1695006591813,0.0118862639617574,0.0578196230004132,0.131756214084565,0.201462101046736
1982-01-12,1.93102397478216,0,0.962637599228417,125,12.5,5.51390260984577,1.37847565246144,1.37847565246144,5.51390260984577,0.00640384654410784,0.0311509145450669,0.0709850108448564,0.108539771934031
1982-01-13,1.93102397478216,0,0.962637599228417,125,12.5,23.9792952231159,5.99482380577898,5.99482380577898,23.9792952231159,0.00766780352180518,0.0372993154365777,0.0849956525976371,0.12996277155602
