FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
77,137,6014.000000000000000,6553.000000000000000,SUNLNWLDSTA, ,LITTLE SUNAPEE LAKE-STATION D,NEW LONDON, ,MERRIMACK,NH,STATION D,RIVER/STREAM,NHRIV801060402-37,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.011899999999997,43.430194000000000
78,138,6015.000000000000000,6554.000000000000000,SUNLNWLD, ,LITTLE SUNAPEE LAKE-DEEP SPOT,NEW LONDON, ,MERRIMACK,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:CYANO-GEN:VLAP_LKTREND:LKPBS:VLAP:LKTROPH:,-72.011799999999994,43.433083000000003
79,158,6082.000000000000000,6555.000000000000000,SUNLNWLE, ,LITTLE SUNAPEE LAKE-STATION E,NEW LONDON, ,MERRIMACK,NH,STATION E,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.016400000000004,43.427582999999998
80,159,6083.000000000000000,6556.000000000000000,SUNLNWLEF, ,LITTLE SUNAPEE LAKE-STATION E-F,NEW LONDON, ,MERRIMACK,NH,STATION EF,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.021108999999996,43.429999000000002
81,160,6084.000000000000000,6557.000000000000000,SUNLNWLF, ,LITTLE SUNAPEE LAKE-STATION F,NEW LONDON, ,MERRIMACK,NH,STATION F,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.023899999999998,43.429583000000001
82,161,6085.000000000000000,6558.000000000000000,SUNLNWLG, ,LITTLE SUNAPEE LAKE-STATION G,NEW LONDON, ,MERRIMACK,NH,STATION G,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.024199999999993,43.429000000000002
83,162,6086.000000000000000,6559.000000000000000,SUNLNWL-GEN, ,LITTLE SUNAPEE LAKE-GENERIC,NEW LONDON, ,MERRIMACK,NH,GENERIC,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,NO, , , ,Y,:VLAP:LKTROPH:,-72.018699999999995,43.432499999999997
84,163,6087.000000000000000,6560.000000000000000,SUNLNWLGP, ,LITTLE SUNAPEE LAKE-GREAT PINES WL XING,NEW LONDON, ,MERRIMACK,NH,GREAT PINES WL CROSSING,RIVER/STREAM,NHRIV801060402-36,UNNAMED BROOK,YES, , , ,Y,:VLAP:,-72.006394000000000,43.427781000000003
85,164,6088.000000000000000,6561.000000000000000,SUNLNWLH, ,LITTLE SUNAPEE LAKE-STATION H,NEW LONDON, ,MERRIMACK,NH,STATION H,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.028300000000002,43.426194000000002
86,165,6089.000000000000000,6562.000000000000000,SUNLNWLHG, ,LITTLE SUNAPEE LAKE-STATION H-G,NEW LONDON, ,MERRIMACK,NH,STATION HG,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.025890000000004,43.427359000000003
87,166,6090.000000000000000,6563.000000000000000,SUNLNWLI,SUNSUN1420,LITTLE SUNAPEE LAKE-STATION I,NEW LONDON, ,MERRIMACK,NH,STATION I,RIVER/STREAM,NHRIV801060402-06,NORTH BRANCH SUGAR RIVER,YES, , , ,Y,:VLAP:,-72.034199999999998,43.427999999999997
88,167,6091.000000000000000,6564.000000000000000,SUNLNWLIJ, ,LITTLE SUNAPEE LAKE-STATION I-J,NEW LONDON, ,MERRIMACK,NH,STATION IJ,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.032498000000004,43.429167999999997
89,168,6092.000000000000000,6565.000000000000000,SUNLNWLJ, ,LITTLE SUNAPEE LAKE-STATION J,NEW LONDON, ,MERRIMACK,NH,STATION J,LAKE/POND,NHLAK801060402-04-01,LITTLE SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.034599999999998,43.432194000000003
