FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
24,35,3045.000000000000000,2009.000000000000000,BCHBUCNLNLF,8845000,LITTLE SUNAPEE LAKE BUCKLIN TB-LEFT,NEW LONDON, ,MERRIMACK,NH,FRONT OF COVERED PICNIC TABLES,LAKE/POND,NHLAK801060402-04-02,LITTLE SUNAPEE LAKE - BUCKLIN TOWN BEACH,YES, , , ,Y,:CYANO-GEN:NH769488:COMPLAIN:VLAP:EPABEACH:,-72.002806000000007,43.434443999999999
25,36,3046.000000000000000,2023.000000000000000,BCHSSPNBYCR,8844005,SUNAPEE SP-CENTER,NEWBURY, ,MERRIMACK,NH, ,LAKE/POND,NHLAK801060402-05-05,SUNAPEE LAKE - SUNAPEE STATE PARK BEACH,YES, , , ,Y,:NH884405:EPABEACH:,-72.061417000000006,43.343193999999997
26,37,3136.000000000000000,4618.000000000000000,CHANBYD, ,CHALK POND-DEEP SPOT,NEWBURY, ,MERRIMACK,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:VLAP_LKTREND:VLAP:LKTROPH:,-72.010166999999996,43.348416999999998
27,38,3137.000000000000000,4619.000000000000000,CHANBY-GEN, ,CHALK POND-GENERIC,NEWBURY, ,MERRIMACK,NH,GENERIC,LAKE/POND,NHLAK801060402-03,CHALK POND,NO, , , ,N,:VLAP:LKTROPH:,-72.010499999999993,43.348889000000000
28,39,3138.000000000000000,4620.000000000000000,CHANBYI,SUNSUN1105,CHALK POND-INLET,NEWBURY, ,MERRIMACK,NH,"INLET
1105.0 - CHALK POND INLET",RIVER/STREAM,NHRIV801060402-60,CHALK POND-HILLTOP DRIVE INLET,YES, , , ,Y,:VLAP:,-72.011816999999994,43.348708000000002
29,40,3139.000000000000000,4621.000000000000000,CHANBYNB, ,CHALK POND-NORTH BEACH,NEWBURY, ,MERRIMACK,NH,NORTH BEACH,LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:VLAP:,-72.012400000000000,43.350999999999999
30,41,3140.000000000000000,4622.000000000000000,CHANBYO, ,CHALK POND-OUTLET,NEWBURY, ,MERRIMACK,NH,OUTLET,RIVER/STREAM,NHRIV801060402-24,BLODGETT BROOK,YES, , , ,Y,:VLAP:,-72.012400000000000,43.351399999999998
31,42,3141.000000000000000,4623.000000000000000,CHANBYSB, ,CHALK POND-SOUTH BEACH,NEWBURY, ,MERRIMACK,NH,SOUTH BEACH,LAKE/POND,NHLAK801060402-03,CHALK POND,YES, , , ,Y,:LKTROPH:VLAP:,-72.006200000000007,43.346583000000003
32,49,3770.000000000000000,5925.000000000000000,OTTSUNB2, ,OTTER POND-BEACH,SUNAPEE, ,SULLIVAN,NH,"BEACH
NEW LONDON",LAKE/POND,NHLAK801060402-12-02,OTTER POND - MORGAN BEACH,YES, , , ,Y,:NH392408:EPABEACH:VLAP:,-72.050500000000000,43.428083000000001
33,50,3771.000000000000000,5926.000000000000000,OTTSUNBB,SUNSUN1605,OTTER POND-BAPTIST BROOK,SUNAPEE, ,SULLIVAN,NH,BAPTIST BROOK,RIVER/STREAM,NHRIV801060402-45,BAPTIST BROOK,YES, , , ,Y,:VLAP:,-72.064300000000003,43.440083000000001
