time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2015-01-01 24:00:00,187450127.454173,    0.000000,    0.000000,    0.000000,57760.452481,72518.242148,    0.000000,-44038.939075,    0.000000,    0.000000,    0.000000,   33.330471,16287416.807507,    0.000000,    0.000000,    0.000000,    0.000000,    0.100000,   20.935449,    1.083379,   20.935449,   36.328811,  -76.468831,  -61.070634, -106.682213,    0.000000,    0.000000,    0.220076,    5.193490,    1.823833,   36.706003,    0.328776,    0.000547,    0.000587,    0.000000
2015-01-02 24:00:00,187348668.984911,    0.000000,    0.000000,    0.000000,115520.904963,145073.014695,    0.000000,-71864.438069,   35.826995,    0.000000,    0.000000,   33.324247,16282740.902475,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,   19.215747,    3.612238,   19.215747,   53.698159, -125.147247, -107.091238, -186.514193,    0.000000,    0.000000,    0.176943,    4.241519,    1.648224,   57.198307,    0.267449,    0.000547,    0.000587,    0.000000
2015-01-03 24:00:00,187257047.321527,    0.000000,    0.000000,    0.000000,115520.904963,305816.744427,    0.000000,-59071.821916,157583.017163,    0.000000,    0.000000,   33.318627,16278518.345206,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,   17.539668,    3.131256,   17.539668,   47.989281, -103.063911,  -95.217844, -169.276124,    0.000000,    0.000000,    0.449946,    9.917446,    2.520318,   13.260541,    0.359622,    0.000547,    0.000587,    0.000000
2015-01-04 24:00:00,187176555.106911,    0.000000,    0.000000,    0.000000,113780.002926,367423.604341,    0.000000,-45102.045170,217914.544326,    0.000000,    0.000000,   33.313690,16274808.709588,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,   16.834438,    3.199082,   16.834438,   28.046401,  -78.828788,  -70.064630, -106.298592,    0.000000,    0.000000,    0.262677,    6.108946,    1.978056,   34.185637,    0.293314,    0.000547,    0.000587,    0.000000
2015-01-05 24:00:00,187054822.728684,    0.000000,    0.000000,    0.000000,113252.006193,147377.750870,    0.000000,-89735.412165, 2294.257097,    0.000000,    0.000000,   33.306222,16269198.443199,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,   15.139637,    3.025791,   15.139637,   56.470861, -157.092831, -169.033241, -173.230517,    0.000000,    0.000000,    0.400334,    8.936777,    2.392467,   19.017496,    0.305245,    0.000547,    0.000587,    0.000000
2015-01-06 24:00:00,185324604.499848,    0.000000,    0.000000,    0.000000,114036.024707,1819159.620572,    0.000000,-30937.959266, 5872.109260,    0.000000,    0.000000,   33.199640,16194319.186660,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,   14.536472,    2.815554,   14.536472,   53.808744,  -54.482056,  -71.763672, -167.887878,    0.000000,    0.000000,    0.087353,    2.163438,    1.177139,  238.024102,    0.314988,    0.000547,    0.000587,    0.000000
2015-01-07 24:00:00,185239612.823312,    0.000000,    0.000000,    0.000000,114564.021440,143741.108957,    0.000000,-55922.612563,    0.000000,    0.000000,    0.000000,   33.194380,16190757.160590,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,   13.263072,    2.811687,   13.263072,   36.300852,  -98.595531, -131.396109, -178.502174,    0.000000,    0.000000,    0.446416,    9.844958,    2.511091,   18.896065,    0.495342,    0.000547,    0.000587,    0.000000
2015-01-08 24:00:00,185159407.389246,    0.000000,    0.000000,    0.000000,114564.021440,143741.108957,    0.000000,-51116.136866,    0.000000,    0.000000,    0.000000,   33.189417,16187395.727344,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,   12.403317,    3.155252,   12.403317,   67.216845,  -90.253134, -143.699008, -209.536756,    0.000000,    0.000000,    0.254296,    5.929025,    1.948709,   52.813886,    0.446053,    0.000547,    0.000587,    0.000000
2015-01-09 24:00:00,185080031.723574,    0.000000,    0.000000,    0.000000,114564.021440,166333.698204,    0.000000,-49821.926626,22174.927136,    0.000000,    0.000000,   33.184506,16184069.069935,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,   11.706557,    4.178203,   11.706557,   46.142818,  -88.058303, -116.207674, -163.767304,    0.000000,    0.000000,    0.179904,    4.306755,    1.660850,   99.817952,    0.314126,    0.000547,    0.000587,    0.000000
2015-01-10 24:00:00,185014626.286631,    0.000000,    0.000000,    0.000000,114564.021440,143741.108957,    0.000000,-36276.345066,    0.000000,    0.000000,    0.000000,   33.180459,16181327.908906,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,   11.176410,    4.146877,   11.176410,   78.806090,  -64.170263,  -87.353866, -193.407378,    0.000000,    0.000000,    0.139414,    3.388649,    1.473224,  158.081464,    0.305775,    0.000547,    0.000587,    0.000000
