time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads
1990-05-20,0.0639979895904968,0,6.91176859872494,125,12.5,23.8514455269598,5.96286138173995,5.96286138173995,23.8514455269598,0.0140591827812325,0.068389584037521,0.155842466761459,0.238291233580213
1990-05-21,0.063084615167802,0,4.85407623241042,125,12.5,39.0514857906946,9.76287144767364,9.76287144767364,39.0514857906946,0.011257599854577,0.0547615450553151,0.124787632286328,0.19080677719622
1990-05-22,0.0636814458836504,0,5.6365570362092,125,12.5,6.64395534382688,1.66098883595672,1.66098883595672,6.64395534382688,0.043452419223263,0.211370242662313,0.481659019864644,0.73648168175022
1990-05-23,0.0647532542713534,0,5.70595832553093,125,12.5,9.05349397757868,2.26337349439467,2.26337349439467,9.05349397757868,0.00687553647538183,0.033445406244654,0.0762135738118597,0.116534516531896
1990-05-24,0.0647594870530792,0,7.90191070404863,125,12.5,11.6281835588214,2.90704588970534,2.90704588970534,11.6281835588214,0.0120803272459296,0.0587636257556238,0.133907356251491,0.204751309253044
1990-05-25,0.0642289527122614,0,9.99417039301168,125,12.5,9.4545721087276,2.3636430271819,2.3636430271819,9.4545721087276,0.0223539790532205,0.108738847258886,0.247788174589936,0.378881000902043
1990-05-26,0.0642140400499444,0,11.2339893919121,125,12.5,4.1475455397356,1.0368863849339,1.0368863849339,4.1475455397356,0.00790422705976739,0.0384493756975126,0.087616347408269,0.133969950165549
1990-05-27,0.0642140400499444,0,11.4828368234471,125,12.5,14.7742437769281,3.69356094423202,3.69356094423202,14.7742437769281,0.0297888632608504,0.144905148404475,0.330201975806714,0.50489598747204
1990-05-28,0.0642289527122614,0,12.1317770183695,125,12.5,2.98299607159178,0.745749017897945,0.745749017897945,2.98299607159178,0.011262801152788,0.0547868462855959,0.124845287354633,0.190894934793017
1990-05-29,0.063406748400122,0,9.49619454194304,125,12.5,48.3048951389932,12.0762237847483,12.0762237847483,48.3048951389932,0.0062368666033876,0.03033865618936,0.0691340806544999,0.105709603447248
1990-05-30,0.0625209195349098,0,8.27020635490377,125,12.5,12.2477061079776,3.06192652699441,3.06192652699441,12.2477061079776,0.0226622548468584,0.110238426119464,0.251205333387211,0.384106014353533
1990-05-31,0.0633431238470492,0,7.96964885324393,125,12.5,146.150744172794,36.5376860431985,36.5376860431985,146.150744172794,0.0218716848949041,0.106392772285381,0.242442066462157,0.370706523642442
1990-06-01,0.0642289527122614,0,11.413161297408,125,12.5,8.736270763263,2.18406769081575,2.18406769081575,8.736270763263,0.0326246336246978,0.158699488987937,0.361635769331396,0.55295989194403
1990-06-02,0.064023689218453,0,13.4385097678499,125,12.5,0.703196182089904,0.175799045522476,0.175799045522476,0.703196182089904,0.0282487832374331,0.137413572697344,0.313130580292902,0.478792936227679
1990-06-03,0.0632089516951596,0,15.6518698470276,125,12.5,52.8717849937612,13.2179462484403,13.2179462484403,52.8717849937612,0.0170675744812793,0.0830236250191044,0.18918972391113,0.289280923411514
1990-06-04,0.0633647817003478,0,12.0410873677334,125,12.5,1.49789897235768,0.374474743089421,0.374474743089421,1.49789897235768,0.0142648717483368,0.0693901388436045,0.158122476668005,0.241777487259946
