LAKE,TOWN,STATION,DATE,Depth,LAYER,PH,H_ION,ALK,COLOR,TP,COND,TURBIDITY,YEAR,MONTH,Comments,SampleID,CompleteDate,ID,Date_Sta_Lr
"SUNAPEE, LAKE",SUNAPEE,835,03-Oct-18,,I,6.97,,,,0.012,614,2.1,2018,,,,10/4/2018,35070,1032018835I
"SUNAPEE, LAKE",SUNAPEE,830,03-Oct-18,,I,6.04,,,,0.034,282.5,3.62,2018,,,,10/4/2018,35069,1032018830I
"SUNAPEE, LAKE",SUNAPEE,720.1,03-Oct-18,,I,5.71,,,,0.01,33.6,1.01,2018,,,,10/4/2018,35068,1032018720.1I
"SUNAPEE, LAKE",SUNAPEE,715,03-Oct-18,,I,5.33,,,,0.004,11.22,0.69,2018,,,,10/4/2018,35067,1032018715I
"SUNAPEE, LAKE",SUNAPEE,680,03-Oct-18,,I,6.99,,,,0.01,84.7,1.61,2018,,,,10/4/2018,35065,1032018680I
"SUNAPEE, LAKE",SUNAPEE,670.5,03-Oct-18,,I,6.6,,,,0.011,159,0.79,2018,,,,10/4/2018,35064,1032018670.5I
"SUNAPEE, LAKE",SUNAPEE,675,03-Oct-18,,I,6.31,,,,0.006,17.5,1.43,2018,,,,10/4/2018,35063,1032018675I
"SUNAPEE, LAKE",SUNAPEE,670,03-Oct-18,,I,6.73,,,,0.013,148.1,3.35,2018,,,,10/4/2018,35061,1032018670I
"SUNAPEE, LAKE",SUNAPEE,515.1,03-Oct-18,,I,6.95,,,,0.007,464,0.83,2018,,,,10/4/2018,35060,1032018515.1I
"SUNAPEE, LAKE",SUNAPEE,1420,02-Oct-18,,I,6.92,,,,0.005,82.1,0.98,2018,,,,10/4/2018,35059,10220181420I
"SUNAPEE, LAKE",SUNAPEE,1418,02-Oct-18,,I,6.41,,,,0.035,559,2.05,2018,,,,10/4/2018,35058,10220181418I
"SUNAPEE, LAKE",SUNAPEE,1410.5,02-Oct-18,,I,6.54,,,,0.014,20.87,2.09,2018,,,,10/4/2018,35057,10220181410.5I
"SUNAPEE, LAKE",SUNAPEE,1115,02-Oct-18,,I,6.44,,,,0.005,52.8,0.58,2018,,,,10/4/2018,35056,10220181115I
"SUNAPEE, LAKE",SUNAPEE,800.8,02-Oct-18,,I,6.56,,,,0.01,34.3,1.11,2018,,,,10/4/2018,35055,1022018800.8I
"SUNAPEE, LAKE",SUNAPEE,800.5,02-Oct-18,,I,6.89,,,,0.015,49.9,1.71,2018,,,,10/4/2018,35054,1022018800.5I
"SUNAPEE, LAKE",SUNAPEE,790.4,02-Oct-18,,I,5.77,,,,0.01,39,0.83,2018,,,,10/4/2018,35053,1022018790.4I
"SUNAPEE, LAKE",SUNAPEE,790.2,02-Oct-18,,I,6.36,,,,0.011,43.9,1.17,2018,,,,10/4/2018,35052,1022018790.2I
"SUNAPEE, LAKE",SUNAPEE,510,01-Oct-18,,I,6.84,,,,0.008,167.6,1.49,2018,,,,10/4/2018,35051,1012018510I
"SUNAPEE, LAKE",SUNAPEE,505,01-Oct-18,,I,7.08,,,,0.006,162.3,1.31,2018,,,,10/4/2018,35049,1012018505I
"SUNAPEE, LAKE",SUNAPEE,830.15,01-Oct-18,,I,6.32,,,,0.023,488,6.39,2018,,,,10/4/2018,35048,1012018830.15I
"SUNAPEE, LAKE",SUNAPEE,830,01-Oct-18,,I,6.39,,,,0.023,495,5.72,2018,,,,10/4/2018,35047,1012018830I
"SUNAPEE, LAKE",SUNAPEE,640.1,01-Oct-18,,I,6.45,,,,0.033,143,1.14,2018,,,,10/4/2018,35046,1012018640.1I
"SUNAPEE, LAKE",SUNAPEE,610,01-Oct-18,,I,6.97,,,,0.004,101.3,0.64,2018,,,,10/4/2018,35045,1012018610I
"SUNAPEE, LAKE",SUNAPEE,575,01-Oct-18,,I,6.75,,,,0.012,429,1.35,2018,,,,10/4/2018,35044,1012018575I
"SUNAPEE, LAKE",SUNAPEE,540,01-Oct-18,,I,5.71,,,,0.015,32.3,0.98,2018,,,,10/4/2018,35043,1012018540I
"SUNAPEE, LAKE",SUNAPEE,1415,30-Sep-18,,I,6.87,,,,0.013,544,2.7,2018,,,,10/4/2018,35042,93020181415I
"SUNAPEE, LAKE",SUNAPEE,760,30-Sep-18,,I,6.65,,,,0.009,27.42,0.34,2018,,,,10/4/2018,35041,9302018760I
"SUNAPEE, LAKE",SUNAPEE,750,30-Sep-18,,I,6.75,,,,0.005,69.6,0.28,2018,,,,10/4/2018,35040,9302018750I
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,18,H,6.14,,,,0.006,98.2,0.52,2018,,,,9/20/2018,35035,9172018230H
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,12,M,6.49,,,,0.006,99,1.01,2018,,,,9/20/2018,35034,9172018230M
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,4.5,E,7.07,,6.4,,0.003,100,0.43,2018,,,,9/20/2018,35033,9172018230E
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,20,H,6.18,,,,0.006,99.5,0.5,2018,,,,9/20/2018,35032,9172018220H
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,12.5,M,6.46,,,,0.005,99.3,0.95,2018,,,,9/20/2018,35031,9172018220M
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,4.5,E,7.09,,6.5,,0.005,100.4,0.41,2018,,,,9/20/2018,35030,9172018220E
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,21,H,6.32,,,,0.006,101.6,0.41,2018,,,,9/20/2018,35029,9172018210H
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,11.5,M,6.68,,,,0.008,100.7,0.66,2018,,,,9/20/2018,35028,9172018210M
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,4.5,E,7.17,,6.7,,0.003,100.5,0.44,2018,,,,9/20/2018,35027,9172018210E
