LAKE,TOWN,STATION,DATE,DEPTH,TEMP,DO,PCNTSAT,TIME,BOTTOMZ,WEATHER,Comments,ID,Date_Sta_Dp
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,21,9,2.3,20.7,,,,,19676,9172018230 21
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,20,9,2.77,24.9,,,,,19675,9172018230 20
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,19,9.1,3.34,30.1,,,,,19674,9172018230 19
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,18,9.2,3.55,32.1,,,,,19673,9172018230 18
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,17,9.3,3.76,34.1,,,,,19672,9172018230 17
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,16,9.7,3.93,36,,,,,19671,9172018230 16
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,15,10.1,4.5,41.6,,,,,19670,9172018230 15
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,14,10.7,4.66,43.7,,,,,19669,9172018230 14
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,13,11.8,5.5,52.9,,,,,19668,9172018230 13
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,12,13.4,7.07,70.4,,,,,19667,9172018230 12
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,11,15.1,8.4,86.9,,,,,19666,9172018230 11
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,10,18.6,8.3,92.3,,,,,19665,9172018230 10
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,9,20.8,7.84,91.1,,,,,19664,9172018230 9
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,8,21.1,8.1,94.8,,,,,19663,9172018230 8
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,7,21.4,8.18,96.1,,,,,19662,9172018230 7
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,6,21.6,8.26,97.5,,,,,19661,9172018230 6
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,5,21.8,8.27,98.1,,,,,19660,9172018230 5
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,4,22.2,8.31,99.3,,,,,19659,9172018230 4
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,3,22.5,8.28,99.5,,,,,19658,9172018230 3
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,2,22.7,8.32,100.3,,,,,19657,9172018230 2
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,1,22.8,8.33,100.7,,,,,19656,9172018230 1
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,0.5,22.8,8.34,100.8,,,,,19655,9172018230 .5
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,23,6.6,1.5,12.7,,,,,19654,9172018220 23
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,22,6.7,2.66,22.7,,,,,19653,9172018220 22
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,21,6.9,3.91,33.5,,,,,19652,9172018220 21
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,20,7.1,4.4,37.8,,,,,19651,9172018220 20
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,19,7.3,4.93,42.5,,,,,19650,9172018220 19
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,18,7.7,5.94,51.7,,,,,19649,9172018220 18
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,17,8.3,6.43,56.9,,,,,19648,9172018220 17
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,16,8.9,6.36,57.1,,,,,19647,9172018220 16
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,15,9.8,6.65,61,,,,,19646,9172018220 15
