"DateTime","Depth","conc_H_molpl","pH"
"2017-09-18",21,5.75439937337157e-07,6.24
"2017-09-18",11.5,3.46736850452532e-07,6.46
"2017-09-18",4.5,7.41310241300918e-08,7.13
"2017-08-22",3.5,8.91250938133746e-08,7.05
"2017-08-22",10.5,1.69824365246175e-07,6.77
"2017-08-22",19,4.57088189614875e-07,6.34
"2017-07-18",8,1.94984459975805e-07,6.71
"2017-07-18",20,3.46736850452532e-07,6.46
"2017-07-18",3,1.20226443461741e-07,6.92
"2017-06-20",7.5,1.77827941003892e-07,6.75
"2017-06-20",21,2.29086765276777e-07,6.64
"2017-06-20",2,9.77237220955811e-08,7.01
"2016-09-28",13.5,3.8904514499428e-07,6.41
"2016-09-28",23,5.62341325190349e-07,6.25
"2016-09-28",5.5,7.76247116628691e-08,7.11
"2016-08-23",21.5,5.12861383991365e-07,6.29
"2016-08-23",11.5,2.75422870333817e-07,6.56
"2016-08-23",4.5,7.94328234724282e-08,7.1
"2016-07-18",20.5,4.07380277804113e-07,6.39
"2016-07-18",3,6.91830970918936e-08,7.16
"2016-07-18",9,1.20226443461741e-07,6.92
"2016-06-21",4.5,7.94328234724282e-08,7.1
"2016-06-21",20.5,1.90546071796325e-07,6.72
"2016-06-21",9.5,9.3325430079699e-08,7.03
"2016-05-31",5.5,8.70963589956081e-08,7.06
"2016-05-31",18.5,1.77827941003892e-07,6.75
"2016-05-31",2,1e-07,7
"2015-09-21",12,3.31131121482591e-07,6.48
"2015-09-21",4,1.44543977074593e-07,6.84
"2015-09-21",22,5.12861383991365e-07,6.29
"2015-08-10",4,1.94984459975805e-07,6.71
"2015-08-10",10,2.23872113856834e-07,6.65
"2015-08-10",22,4.57088189614875e-07,6.34
"2015-07-20",2,1.90546071796325e-07,6.72
"2015-07-20",9,1.69824365246175e-07,6.77
"2015-07-20",22,3.63078054770101e-07,6.44
"2015-06-22",22,3.38844156139203e-07,6.47
"2015-06-22",3,2.88403150312661e-07,6.54
"2015-06-22",10,2.81838293126445e-07,6.55
"2014-09-15",22,6.76082975391982e-07,6.17
"2014-09-15",12,4.89778819368447e-07,6.31
"2014-09-15",5,1.81970085860998e-07,6.74
"2014-08-19",4,1.81970085860998e-07,6.74
"2014-08-19",11,5.49540873857625e-07,6.26
"2014-08-19",22,6.91830970918936e-07,6.16
"2014-07-22",3,2.81838293126445e-07,6.55
"2014-07-22",10,3.63078054770101e-07,6.44
"2014-07-22",22,6.30957344480193e-07,6.2
"2014-06-09",2,3.46736850452532e-07,6.46
"2014-06-09",21,5.75439937337157e-07,6.24
"2014-06-09",6,3.01995172040202e-07,6.52
"2014-05-27",12,1.25892541179417e-07,6.9
"2014-05-27",22,1.31825673855641e-07,6.88
"2014-05-27",6,1.28824955169313e-07,6.89
"2013-09-17",22,8.91250938133746e-07,6.05
"2013-09-17",11,7.58577575029184e-07,6.12
"2013-09-17",4,2.88403150312661e-07,6.54
"2013-08-19",23,1.02329299228075e-06,5.99
"2013-08-19",11,3.16227766016838e-07,6.5
"2013-08-19",4,1.94984459975805e-07,6.71
"2013-07-15",8,3.16227766016838e-07,6.5
"2013-07-15",0,4.78630092322638e-07,6.32
"2013-07-15",22,3.71535229097173e-07,6.43
"2013-06-17",4,4.07380277804113e-07,6.39
