"","DateTime","Depth","PHY_tchla"
"1",2017-09-18,1,1.25
"2",2017-08-22,1,0.33
"3",2017-07-18,1,1.79
"4",2017-06-20,1,0.98
"5",2016-09-28,1,1.98
"6",2016-08-23,1,2.01
"7",2016-07-18,1,1.44
"8",2016-06-21,1,0.92
"9",2016-05-31,1,0.52
"10",2015-09-21,1,2.72
"11",2015-08-10,1,1.25
"12",2015-07-20,1,2.52
"13",2015-06-22,1,1.44
"14",2014-09-15,1,1.93
"15",2014-08-19,1,2.17
"16",2014-07-22,1,1.99
"17",2014-06-09,1,1.63
"18",2014-05-27,1,6.16
"19",2013-09-17,1,2.93
"20",2013-08-19,1,2.17
"21",2013-07-15,1,1.25
"22",2013-06-17,1,1.03
"23",2012-09-17,1,1.09
"24",2012-08-20,1,1.41
"25",2012-07-23,1,0.92
"26",2012-06-19,1,1.49
"27",2012-05-23,1,1.77
"28",2011-09-19,1,2.71
"29",2011-08-18,1,2.36
"30",2011-07-19,1,1.65
"31",2011-06-21,1,1.63
"32",2011-05-31,1,1.46
"33",2010-09-13,1,1.44
"34",2010-08-17,1,1.47
"35",2010-07-12,1,1.42
"36",2010-06-02,1,1.45
"37",2009-10-05,1,1.99
"38",2009-09-01,1,2.84
"39",2009-08-12,1,1.83
"40",2009-07-13,1,0.95
"41",2009-06-22,1,2.15
"42",2009-05-26,1,0.2
"43",2008-09-02,1,1.78
"44",2008-07-29,1,2.25
"45",2008-07-01,1,1.8
"46",2008-06-03,1,1.61
"47",2007-09-11,1,1.75
"48",2007-08-14,1,1.64
"49",2007-07-16,1,2.3
"50",2007-06-11,1,1.64
"51",2006-10-09,1,4.35
"52",2006-09-11,1,5.28
"53",2006-07-24,1,1.61
"54",2006-07-05,1,1.09
"55",2006-05-31,1,0.92
"56",2005-09-14,1,2.16
"57",2005-08-22,1,1.25
"58",2005-07-25,1,1.61
"59",2005-06-27,1,1.97
"60",2004-09-20,1,1.11
"61",2004-08-23,1,1.43
"62",2004-07-26,1,1.09
"63",2004-06-21,1,1.26
"64",2004-05-25,1,1.23
"65",2003-09-22,1,1.06
"66",2003-08-18,1,1.42
"67",2003-07-30,1,0.9
"68",2003-06-23,1,0.9
"69",2002-09-30,1,1.09
"70",2002-08-19,1,0.94
"71",2002-07-29,1,2.57
"72",2002-06-17,1,0.9
"73",2001-09-17,1,1.28
"74",2001-08-21,1,2.3
"75",2001-07-23,1,1.8
"76",2001-06-25,1,0.71
"77",2001-05-30,1,1.04
"78",2000-10-03,1,1.97
"79",2000-09-06,1,1.97
"80",2000-08-13,1,1.64
"81",2000-07-24,1,1.45
"82",2000-07-06,1,1.42
"83",2000-06-14,1,1.28
"84",2000-05-27,1,NA
"85",1999-10-12,1,2.54
"86",1999-09-20,1,NA
"87",1999-09-02,1,0.92
"88",1999-08-10,1,NA
"89",1999-07-20,1,1.64
"90",1999-06-28,1,NA
"91",1999-06-07,1,0.9
"92",1999-05-26,1,NA
"93",1998-09-28,1,0.9
"94",1998-09-09,1,1.97
"95",1998-08-18,1,1.07
"96",1998-07-29,1,1.28
"97",1998-07-06,1,1.45
"98",1998-06-16,1,1.45
"99",1998-05-27,1,1.42
"100",1997-10-06,1,2.18
"101",1997-09-10,1,1.8
"102",1997-08-11,1,0.78
"103",1997-07-22,1,0.43
"104",1997-07-08,1,1.07
"105",1997-06-03,1,NA
"106",1996-10-02,1,2.83
"107",1996-09-04,1,1.85
"108",1996-08-14,1,2.02
"109",1996-07-24,1,1.66
"110",1996-07-02,1,1.85
"111",1996-06-12,1,2.37
"112",1996-05-22,1,4.39
"113",1995-09-30,1,2.18
"114",1995-09-05,1,1.99
"115",1995-08-10,1,2.18
"116",1995-07-13,1,0.95
"117",1995-06-15,1,1.07
"118",1995-05-26,1,1.85
"119",1995-03-10,1,NA
"120",1994-09-14,1,1.83
"121",1994-08-19,1,11.07
"122",1994-07-29,1,2.7
"123",1994-07-07,1,2.87
"124",1993-10-17,1,2.54
"125",1993-08-22,1,1.64
"126",1993-08-08,1,1.49
"127",1993-07-25,1,1.45
"128",1993-07-11,1,2.01
"129",1993-06-27,1,1.47
"130",1993-06-13,1,0.95
"131",1993-05-30,1,3.65
"132",1993-05-16,1,3.65
"133",1992-07-01,1,1
"134",2018-09-17,1,1.66
"135",2018-08-13,1,2.15
"136",2018-07-24,1,2.36
"137",2018-06-18,1,1.58
"138",2019-09-24,1,1.28
"139",2019-08-19,1,1.6
"140",2019-07-29,1,1.09
"141",2019-06-17,1,1.93
"142",2020-09-15,1,0.9
"143",2020-08-11,1,0.73
"144",2020-07-15,1,1.44
"145",2020-06-22,1,1.25
"146",2020-06-03,1,2.15
