"","DateTime","Depth","TOT_tp"
"137",2008-06-03,12,0.129141403379631
"138",2008-06-03,4,0.129141403379631
"139",2007-09-11,4,0.161426754224538
"140",2007-09-11,12,0.161426754224538
"141",2007-09-11,22,0.161426754224538
"142",2007-08-14,4,0.161426754224538
"143",2007-08-14,8,0.161426754224538
"144",2007-08-14,20,0.161426754224538
"145",2007-07-16,22,0.129141403379631
"146",2007-07-16,10,0.161426754224538
"147",2007-07-16,4,0.161426754224538
"148",2007-06-11,7,0.322853508449076
"149",2007-06-11,4,0.161426754224538
"150",2007-06-11,10,0.161426754224538
"151",2006-10-09,6,0.129141403379631
"152",2006-10-09,22,0.161426754224538
"153",2006-10-09,13,0.161426754224538
"154",2006-09-11,20,0.161426754224538
"155",2006-09-11,4,0.161426754224538
"156",2006-09-11,10,0.193712105069446
"157",2006-07-24,3,0.193712105069446
"158",2006-07-24,10,0.193712105069446
"159",2006-07-24,20,0.161426754224538
"160",2006-07-05,3,0.161426754224538
"161",2006-07-05,8,0.193712105069446
"162",2006-07-05,17,0.161426754224538
"163",2006-05-31,6,0.193712105069446
"164",2006-05-31,2,0.193712105069446
"165",2006-05-31,17,0.161426754224538
"166",2005-09-14,4,0.0968560525347229
"167",2005-09-14,21,0.161426754224538
"168",2005-09-14,10,0.161426754224538
"169",2005-08-22,3,0.161426754224538
"170",2005-08-22,9,0.225997455914353
"171",2005-08-22,20,0.161426754224538
"172",2005-07-25,7,0.193712105069446
"173",2005-07-25,2,0.0968560525347229
"174",2005-07-25,18,0.225997455914353
"175",2005-06-27,22,0.129141403379631
"176",2005-06-27,2,0.129141403379631
"177",2005-06-27,10,0.193712105069446
"178",2004-09-20,5,0.161426754224538
"179",2004-09-20,24,0.161426754224538
"180",2004-09-20,13,0.129141403379631
"181",2004-08-23,11,0.129141403379631
"182",2004-08-23,19,0.129141403379631
"183",2004-08-23,4,0.129141403379631
"184",2004-07-26,4,0.193712105069446
"185",2004-07-26,10,0.161426754224538
"186",2004-07-26,0,0.129141403379631
"187",2004-06-21,9,0.161426754224538
"188",2004-06-21,18,0.161426754224538
"189",2004-06-21,2,0.129141403379631
"190",2004-05-25,20,0.225997455914353
"191",2004-05-25,8,0.193712105069446
"192",2004-05-25,4,0.161426754224538
"193",2003-09-22,22,0.129141403379631
"194",2003-09-22,4,0.419709560983799
"195",2003-09-22,12,0.161426754224538
"196",2003-08-18,22,0.0968560525347229
"197",2003-08-18,10,0.258282806759261
"198",2003-08-18,4,0.0645707016898153
"199",2003-07-30,21,0.193712105069446
"200",2003-07-30,3,0.0968560525347229
"201",2003-07-30,9,0.225997455914353
"202",2003-06-23,2,0.129141403379631
"203",2003-06-23,8,0.193712105069446
"204",2003-06-23,20,0.225997455914353
"205",2002-09-30,6,0.0645707016898153
"206",2002-09-30,14,0.161426754224538
"207",2002-09-30,22,0.161426754224538
"208",2002-08-19,21,0.225997455914353
"209",2002-08-19,4,0.322853508449076
"210",2002-08-19,10,0.225997455914353
"211",2002-07-29,4,0.0645707016898153
"212",2002-07-29,10,0.0968560525347229
"213",2002-07-29,21,0.0968560525347229
"214",2002-06-17,20,0.225997455914353
"215",2002-06-17,10,0.225997455914353
"216",2002-06-17,4,0.129141403379631
"217",2001-09-17,4,0.129141403379631
"218",2001-09-17,12,0.161426754224538
"219",2001-09-17,22,0.129141403379631
"220",2001-08-21,22,0.129141403379631
"221",2001-08-21,10,0.129141403379631
"222",2001-08-21,4,0.129141403379631
"223",2001-07-23,4,0.129141403379631
"224",2001-07-23,20,0.225997455914353
"225",2001-07-23,10,0.161426754224538
"226",2001-06-25,20,0.129141403379631
"227",2001-06-25,2,0.0968560525347229
"228",2001-06-25,8,0.0968560525347229
"229",2001-05-30,4,0.129141403379631
"433",2018-09-17,21,0.193712105069446
"434",2018-09-17,11.5,0.258282806759261
"435",2018-09-17,4.5,0.0968560525347229
"436",2018-08-13,21,0.193712105069446
"437",2018-08-13,10,0.322853508449076
"438",2018-08-13,3.5,0.129141403379631
"439",2018-07-24,20.5,0.161426754224538
"440",2018-07-24,9.5,0.193712105069446
"441",2018-07-24,3,0.129141403379631
"442",2018-06-18,3,0.161426754224538
"443",2018-06-18,20.5,0.193712105069446
"444",2018-06-18,8.5,0.193712105069446
"445",2019-10-14,30.5,0.322853508449076
"446",2019-10-10,30,0.193712105069446
"447",2019-09-30,30,0.290568157604169
"448",2019-09-24,29,0.161426754224538
"449",2019-09-24,20.5,0.161426754224538
"450",2019-09-24,11,0.129141403379631
"451",2019-09-24,5,0.129141403379631
"452",2019-09-16,25,0.161426754224538
"453",2019-09-05,26,0.161426754224538
"454",2019-08-19,30,0.225997455914353
"455",2019-08-19,22,0.161426754224538
