"DateTime","Depth","TOT_tp"
"2017-09-18",21,0.129141403379631
"2017-09-18",11.5,0.129141403379631
"2017-09-18",4.5,0.193712105069446
"2017-08-22",3.5,0.0968560525347229
"2017-08-22",10.5,0.129141403379631
"2017-08-22",19,0.161426754224538
"2017-07-18",8,0.193712105069446
"2017-07-18",20,0.193712105069446
"2017-07-18",3,0.129141403379631
"2017-06-20",7.5,0.129141403379631
"2017-06-20",21,0.161426754224538
"2017-06-20",2,0.129141403379631
"2016-09-28",13.5,0.161426754224538
"2016-09-28",23,0.129141403379631
"2016-09-28",5.5,0.0645707016898153
"2016-08-23",21.5,0.161426754224538
"2016-08-23",11.5,0.161426754224538
"2016-08-23",4.5,0.129141403379631
"2016-07-18",20.5,0.193712105069446
"2016-07-18",3,0.129141403379631
"2016-07-18",9,0.161426754224538
"2016-06-21",4.5,0.129141403379631
"2016-06-21",20.5,0.0645707016898153
"2016-06-21",9.5,0.451994911828707
"2016-05-31",5.5,0.0322853508449076
"2016-05-31",18.5,0.0645707016898153
"2016-05-31",2,0.0322853508449076
"2015-09-21",12,0.193712105069446
"2015-09-21",4,0.129141403379631
"2015-09-21",22,0.193712105069446
"2015-08-10",4,0.0968560525347229
"2015-08-10",10,0.129141403379631
"2015-08-10",22,0.161426754224538
"2015-07-20",2,0.129141403379631
"2015-07-20",9,0.161426754224538
"2015-07-20",22,0.161426754224538
"2015-06-22",22,0.193712105069446
"2015-06-22",3,0.129141403379631
"2015-06-22",10,0.161426754224538
"2014-09-15",22,0.258282806759261
"2014-09-15",12,0.129141403379631
"2014-09-15",5,0.0968560525347229
"2014-08-19",4,0.129141403379631
"2014-08-19",11,0.0968560525347229
"2014-08-19",22,0.129141403379631
"2014-07-22",3,0.129141403379631
"2014-07-22",10,0.193712105069446
"2014-07-22",22,0.129141403379631
"2014-06-09",2,0.193712105069446
"2014-06-09",21,0.193712105069446
"2014-06-09",6,0.193712105069446
"2014-05-27",12,0.193712105069446
"2014-05-27",22,0.193712105069446
"2014-05-27",6,0.0968560525347229
"2013-09-17",22,0.161426754224538
"2013-09-17",11,0.161426754224538
"2013-09-17",4,0.129141403379631
"2013-08-19",23,0.193712105069446
"2013-08-19",11,0.225997455914353
"2013-08-19",4,0.161426754224538
"2013-07-15",8,0.161426754224538
"2013-07-15",0,0.129141403379631
"2013-07-15",22,0.161426754224538
"2013-06-17",4,0.225997455914353
"2013-06-17",9,0.193712105069446
"2013-06-17",21,0.225997455914353
"2012-09-17",4,0.161426754224538
"2012-09-17",11,0.225997455914353
"2012-09-17",22,0.193712105069446
"2012-08-20",10,0.225997455914353
"2012-08-20",4,0.129141403379631
"2012-08-20",22,0.225997455914353
"2012-07-23",3,0.129141403379631
"2012-07-23",10,0.225997455914353
"2012-07-23",23,0.225997455914353
"2012-06-19",3,0.161426754224538
"2012-06-19",20,0.193712105069446
"2012-06-19",8,0.225997455914353
"2012-05-23",18,0.258282806759261
"2012-05-23",6,0.225997455914353
"2012-05-23",2,0.193712105069446
"2011-09-19",22,0.193712105069446
"2011-09-19",4,0.193712105069446
"2011-09-19",12,0.161426754224538
"2011-08-18",14,0.161426754224538
"2011-08-18",10,0.193712105069446
"2011-08-18",4,0.161426754224538
"2011-07-19",4,0.161426754224538
"2011-07-19",22,0.225997455914353
"2011-07-19",10,0.193712105069446
"2011-06-21",8,0.161426754224538
"2011-06-21",22,0.193712105069446
"2011-06-21",2,0.129141403379631
"2011-05-31",18,0.225997455914353
"2011-05-31",6,0.225997455914353
"2011-05-31",2,0.161426754224538
"2010-09-13",12,0.161426754224538
"2010-09-13",20,0.161426754224538
"2010-09-13",6,0.129141403379631
"2010-08-17",11,0.161426754224538
