"DateTime","Depth","Secchi_m","extc_coef"
"2017-09-18",1,NA,NA
"2017-08-22",1,8.7,5.11764705882353
"2017-07-18",1,8.29,4.87647058823529
"2017-06-20",1,NA,NA
"2016-09-28",1,10.4,6.11764705882353
"2016-08-23",1,NA,NA
"2016-07-18",1,10.33,6.07647058823529
"2016-06-21",1,10.23,6.01764705882353
"2016-05-31",1,8.9,5.23529411764706
"2015-09-21",1,9.43,5.54705882352941
"2015-08-10",1,8.09,4.75882352941176
"2015-07-20",1,8.3,4.88235294117647
"2015-06-22",1,9.79,5.75882352941176
"2014-09-15",1,8.535,5.02058823529412
"2014-08-19",1,8.265,4.86176470588235
"2014-07-22",1,9.42,5.54117647058824
"2014-06-09",1,7.84,4.61176470588235
"2014-05-27",1,6.24,3.67058823529412
"2013-09-17",1,7.66,4.50588235294118
"2013-08-19",1,10.06,5.91764705882353
"2013-07-15",1,8.32,4.89411764705882
"2013-06-17",1,7.6,4.47058823529412
"2012-09-17",1,9.69,5.7
"2012-08-20",1,9.5,5.58823529411765
"2012-07-23",1,9.15,5.38235294117647
"2012-06-19",1,8,4.70588235294118
"2012-05-23",1,7.03,4.13529411764706
"2011-09-19",1,7.49,4.40588235294118
"2011-08-18",1,8.775,5.16176470588235
"2011-07-19",1,7.1,4.17647058823529
"2011-06-21",1,7.345,4.32058823529412
"2011-05-31",1,7.82,4.6
"2010-09-13",1,10.11,5.94705882352941
"2010-08-17",1,9.6,5.64705882352941
"2010-07-12",1,8.32,4.89411764705882
"2010-06-02",1,6.97,4.1
"2009-10-05",1,9.17,5.39411764705882
"2009-09-01",1,8,4.70588235294118
"2009-08-12",1,NA,NA
"2009-07-13",1,8.75,5.14705882352941
"2009-06-22",1,7.385,4.34411764705882
"2009-05-26",1,9.27,5.45294117647059
"2008-09-02",1,7.905,4.65
"2008-07-29",1,7.1,4.17647058823529
"2008-07-01",1,7.82,4.6
"2008-06-03",1,9.5,5.58823529411765
"2007-09-11",1,7.7,4.52941176470588
"2007-08-14",1,8.8,5.17647058823529
"2007-07-16",1,8.65,5.08823529411765
"2007-06-11",1,7.7,4.52941176470588
"2006-10-09",1,6.65,3.91176470588235
"2006-09-11",1,7.5,4.41176470588235
"2006-07-24",1,6.225,3.66176470588235
"2006-07-05",1,7.675,4.51470588235294
"2006-05-31",1,7.43,4.37058823529412
"2005-09-14",1,9.2,5.41176470588235
"2005-08-22",1,9.475,5.57352941176471
"2005-07-25",1,7.6,4.47058823529412
"2005-06-27",1,8,4.70588235294118
"2004-09-20",1,8.45,4.97058823529412
"2004-08-23",1,9,5.29411764705882
"2004-07-26",1,8.025,4.72058823529412
"2004-06-21",1,11.67,6.86470588235294
"2004-05-25",1,9.55,5.61764705882353
"2003-09-22",1,8.25,4.85294117647059
"2003-08-18",1,8.125,4.77941176470588
"2003-07-30",1,NA,NA
"2003-06-23",1,12.4,7.29411764705882
"2002-09-30",1,9.33,5.48823529411765
"2002-08-19",1,9.64,5.67058823529412
"2002-07-29",1,9.6,5.64705882352941
"2002-06-17",1,9.6,5.64705882352941
"2001-09-17",1,9.45,5.55882352941176
"2001-08-21",1,8.9,5.23529411764706
"2001-07-23",1,7.3,4.29411764705882
"2001-06-25",1,7,4.11764705882353
"2001-05-30",1,7.85,4.61764705882353
"2000-10-03",1,6.3,3.70588235294118
"2000-09-06",1,7.4,4.35294117647059
"2000-08-13",1,6.9,4.05882352941177
"2000-07-24",1,7.1,4.17647058823529
"2000-07-06",1,5.2,3.05882352941176
"2000-06-14",1,7.6,4.47058823529412
"2000-05-27",1,5.7,3.35294117647059
"1999-10-12",1,7.4,4.35294117647059
"1999-09-20",1,7.8,4.58823529411765
