station,parameter,first_sample,last_sample,n_obs,site_type,sub_site_type
10,alk_mglCaCO3,1993-06-03,2000-10-01,52,lake,cove
10,chla_ugl,1991-06-28,2020-09-21,134,lake,cove
10,cl_mgl,2020-06-15,2020-06-15,1,lake,cove
10,conc_H_molpl,1986-07-03,2020-09-21,164,lake,cove
10,cond_uScm,1986-07-03,2020-09-21,161,lake,cove
10,secchidepth_m,1991-06-28,2020-09-21,134,lake,cove
10,TP_mgl,1986-07-03,2020-09-21,160,lake,cove
10,turb_NTU,1993-06-03,2020-09-21,138,lake,cove
100,alk_mglCaCO3,1993-05-30,2000-09-10,40,lake,cove
100,chla_ugl,1986-07-03,2003-06-15,58,lake,cove
100,conc_H_molpl,1986-07-03,2003-06-15,77,lake,cove
100,cond_uScm,1986-07-03,2003-06-15,73,lake,cove
100,DO_mgl,2001-08-21,2001-09-17,28,lake,cove
100,DO_pctsat,2001-08-21,2001-09-17,28,lake,cove
100,secchidepth_m,1986-07-03,2003-06-15,58,lake,cove
100,temp_C,2001-08-21,2001-09-17,28,lake,cove
100,TP_mgl,1986-07-03,2003-06-15,66,lake,cove
100,turb_NTU,1993-05-30,2003-06-15,52,lake,cove
100.1,chla_ugl,2003-07-14,2020-09-15,49,lake,cove
100.1,cl_mgl,2020-09-15,2020-09-15,1,lake,cove
100.1,conc_H_molpl,2003-07-14,2020-09-15,51,lake,cove
100.1,cond_uScm,2003-07-14,2020-09-15,51,lake,cove
100.1,secchidepth_m,2003-07-14,2020-09-15,49,lake,cove
100.1,TP_mgl,2003-07-14,2020-09-15,50,lake,cove
100.1,turb_NTU,2003-07-14,2020-09-15,51,lake,cove
1005,conc_H_molpl,1994-04-07,2000-08-07,21,stream,
1005,cond_uScm,1994-04-07,2000-08-07,21,stream,
1005,TP_mgl,1994-04-07,2000-08-07,21,stream,
1005,turb_NTU,1994-04-07,2000-08-07,21,stream,
1010,conc_H_molpl,1995-03-15,2000-08-07,18,stream,
1010,cond_uScm,1995-03-15,2000-08-07,18,stream,
1010,TP_mgl,1995-03-15,2000-08-07,18,stream,
1010,turb_NTU,1995-03-15,2000-08-07,18,stream,
110,alk_mglCaCO3,1993-06-03,2000-10-01,53,lake,cove
110,chla_ugl,1986-07-03,2020-09-15,160,lake,cove
110,cl_mgl,2020-09-15,2020-09-15,1,lake,cove
110,conc_H_molpl,1986-07-03,2020-09-15,175,lake,cove
110,cond_uScm,1986-07-03,2020-09-15,174,lake,cove
110,secchidepth_m,1986-07-03,2020-09-15,160,lake,cove
110,TP_mgl,1986-07-03,2020-09-15,165,lake,cove
110,turb_NTU,1993-06-03,2020-09-15,152,lake,cove
1105,conc_H_molpl,1994-04-06,2000-09-14,51,stream,
1105,cond_uScm,1994-04-06,2000-09-14,51,stream,
1105,TP_mgl,1994-04-06,2000-09-14,50,stream,
1105,turb_NTU,1994-04-06,2000-09-14,51,stream,
1115,cl_mgl,2020-05-27,2020-08-25,4,stream,
1115,conc_H_molpl,1994-04-06,2020-08-25,209,stream,
1115,cond_uScm,1994-04-06,2020-08-25,223,stream,
1115,TP_mgl,1994-04-06,2020-08-25,221,stream,
1115,turb_NTU,1994-04-06,2020-08-25,223,stream,
1200,conc_H_molpl,1994-07-15,1995-04-05,3,stream,
1200,cond_uScm,1994-07-15,1995-04-05,3,stream,
1200,TP_mgl,1994-07-15,1995-04-05,3,stream,
1200,turb_NTU,1994-07-15,1995-04-05,3,stream,
1300,conc_H_molpl,1994-07-15,1995-04-05,3,stream,
1300,cond_uScm,1994-07-15,1995-04-05,3,stream,
1300,TP_mgl,1994-07-15,1995-04-05,3,stream,
1300,turb_NTU,1994-07-15,1995-04-05,3,stream,
1305,cl_mgl,2020-05-27,2020-05-27,1,stream,
1305,conc_H_molpl,2020-05-27,2020-05-27,1,stream,
1305,cond_uScm,2020-05-27,2020-05-27,1,stream,
1305,TP_mgl,2020-05-27,2020-05-27,1,stream,
1305,turb_NTU,2020-05-27,2020-05-27,1,stream,
1405,conc_H_molpl,1994-04-06,2000-10-11,65,stream,
1405,cond_uScm,1994-04-06,2000-10-11,68,stream,
1405,TP_mgl,1994-04-06,2000-10-11,68,stream,
1405,turb_NTU,1994-04-06,2000-10-11,68,stream,
