station,parameter,first_sample,last_sample,n_obs,site_type,sub_site_type
1410,conc_H_molpl,1994-04-06,2010-08-31,122,stream,
1410,cond_uScm,1994-04-06,2010-08-31,133,stream,
1410,TP_mgl,1994-04-06,2010-08-31,133,stream,
1410,turb_NTU,1994-04-06,2010-08-31,132,stream,
1410.1,conc_H_molpl,1995-04-25,1995-10-25,9,stream,
1410.1,cond_uScm,1995-04-25,1995-10-25,9,stream,
1410.1,TP_mgl,1995-04-25,1995-10-25,8,stream,
1410.1,turb_NTU,1995-04-25,1995-10-25,9,stream,
1410.5,cl_mgl,2020-05-26,2020-09-28,5,stream,
1410.5,conc_H_molpl,1997-05-27,2020-09-28,101,stream,
1410.5,cond_uScm,1997-05-27,2020-09-28,106,stream,
1410.5,TP_mgl,1997-05-27,2020-09-28,102,stream,
1410.5,turb_NTU,1997-05-27,2020-09-28,104,stream,
1415,cl_mgl,2020-05-26,2020-09-29,5,stream,
1415,conc_H_molpl,1994-04-06,2020-09-29,149,stream,
1415,cond_uScm,1994-04-06,2020-09-29,153,stream,
1415,TP_mgl,1994-04-06,2020-09-29,149,stream,
1415,turb_NTU,1994-04-06,2020-09-29,151,stream,
1415.1,conc_H_molpl,1996-04-16,1996-10-20,3,stream,
1415.1,cond_uScm,1996-05-11,1996-10-20,2,stream,
1415.1,TP_mgl,1996-04-16,1996-10-20,3,stream,
1415.1,turb_NTU,1996-04-16,1996-10-20,3,stream,
1415.2,conc_H_molpl,1996-04-16,1996-10-20,3,stream,
1415.2,cond_uScm,1996-04-16,1996-10-20,3,stream,
1415.2,TP_mgl,1996-04-16,1996-10-20,3,stream,
1415.2,turb_NTU,1996-04-16,1996-10-20,3,stream,
1415.3,conc_H_molpl,1996-04-16,1996-10-20,3,stream,
1415.3,cond_uScm,1996-04-16,1996-10-20,3,stream,
1415.3,TP_mgl,1996-04-16,1996-10-20,3,stream,
1415.3,turb_NTU,1996-04-16,1996-10-20,3,stream,
1415.4,conc_H_molpl,1996-04-19,1996-05-11,2,stream,
1415.4,cond_uScm,1996-04-19,1996-05-11,2,stream,
1415.4,TP_mgl,1996-04-19,1996-05-11,2,stream,
1415.4,turb_NTU,1996-04-19,1996-05-11,2,stream,
1415.5,conc_H_molpl,1996-04-19,1996-10-20,3,stream,
1415.5,cond_uScm,1996-04-19,1996-10-20,3,stream,
1415.5,TP_mgl,1996-04-19,1996-10-20,3,stream,
1415.5,turb_NTU,1996-04-19,1996-10-20,3,stream,
1416,conc_H_molpl,1996-04-19,1996-04-19,1,stream,
1416,cond_uScm,1996-04-19,1996-04-19,1,stream,
1416,TP_mgl,1996-04-19,1996-04-19,1,stream,
1416,turb_NTU,1996-04-19,1996-04-19,1,stream,
1417,conc_H_molpl,2004-05-10,2010-05-04,30,stream,
1417,cond_uScm,2002-05-19,2010-05-04,37,stream,
1417,TP_mgl,2002-05-19,2010-05-04,37,stream,
1417,turb_NTU,2002-05-19,2010-05-04,36,stream,
1418,cl_mgl,2020-05-26,2020-07-28,3,stream,
1418,conc_H_molpl,2004-05-10,2020-07-28,83,stream,
1418,cond_uScm,2002-05-19,2020-07-28,91,stream,
1418,TP_mgl,2002-05-19,2020-07-28,91,stream,
1418,turb_NTU,2002-05-19,2020-07-28,90,stream,
1420,cl_mgl,2020-05-26,2020-08-25,4,stream,
1420,conc_H_molpl,1994-04-07,2020-08-25,180,stream,
1420,cond_uScm,1994-04-07,2020-08-25,196,stream,
1420,TP_mgl,1994-04-07,2020-08-25,196,stream,
1420,turb_NTU,1994-04-07,2020-08-25,195,stream,
1500,conc_H_molpl,1994-04-06,1994-05-04,6,stream,
1500,cond_uScm,1994-04-06,1994-05-04,6,stream,
1500,TP_mgl,1994-04-06,1994-05-04,6,stream,
1500,turb_NTU,1994-04-06,1994-05-04,6,stream,
1605,conc_H_molpl,1994-04-06,2000-10-09,93,stream,
1605,cond_uScm,1994-04-06,2000-10-09,94,stream,
1605,TP_mgl,1994-04-06,2000-10-09,90,stream,
1605,turb_NTU,1994-04-06,2000-10-09,94,stream,
1610,conc_H_molpl,1994-04-07,2000-10-09,84,stream,
1610,cond_uScm,1994-04-07,2000-10-09,84,stream,
1610,TP_mgl,1994-04-07,2000-10-09,82,stream,
1610,turb_NTU,1994-04-07,2000-10-09,84,stream,
1612,conc_H_molpl,1994-04-06,2000-10-09,91,stream,
1612,cond_uScm,1994-04-06,2000-10-09,92,stream,
1612,TP_mgl,1994-04-06,2000-10-09,87,stream,
1612,turb_NTU,1994-04-06,2000-10-09,91,stream,
1615,conc_H_molpl,1994-04-06,1995-11-17,29,stream,
1615,cond_uScm,1994-04-06,1995-11-17,29,stream,
1615,TP_mgl,1994-04-06,1995-11-17,29,stream,
1615,turb_NTU,1994-04-06,1995-11-17,28,stream,
1720,cl_mgl,2020-06-09,2020-08-19,2,stream,
1720,conc_H_molpl,2020-06-09,2020-08-19,2,stream,
1720,cond_uScm,2020-06-09,2020-08-19,2,stream,
1720,TP_mgl,2020-06-09,2020-08-19,2,stream,
1720,turb_NTU,2020-06-09,2020-08-19,2,stream,
20,alk_mglCaCO3,1993-05-16,2000-08-23,35,lake,cove
20,chla_ugl,1986-07-03,2020-09-15,196,lake,cove
20,cl_mgl,2020-09-15,2020-09-15,1,lake,cove
20,conc_H_molpl,1986-07-03,2020-09-15,143,lake,cove
20,cond_uScm,1986-07-03,2020-09-15,141,lake,cove
20,secchidepth_m,1986-07-03,2020-09-15,196,lake,cove
20,TP_mgl,1986-07-03,2020-09-15,141,lake,cove
20,turb_NTU,1993-05-16,2020-09-15,117,lake,cove
200,alk_mglCaCO3,1993-05-30,2020-06-03,141,lake,deep
200,chla_ugl,1986-08-03,2020-06-03,160,lake,deep
200,conc_H_molpl,1986-07-03,2020-10-15,519,lake,deep
200,cond_uScm,1986-07-03,2020-10-15,515,lake,deep
200,DO_mgl,1986-07-03,2020-10-15,3200,lake,deep
200,DO_pctsat,1986-07-03,2020-10-15,3201,lake,deep
200,secchidepth_m,1986-08-03,2020-06-03,160,lake,deep
200,temp_C,1986-07-03,2020-10-15,3201,lake,deep
200,TP_mgl,1986-07-03,2020-10-15,468,lake,deep
200,turb_NTU,1993-05-16,2020-10-15,448,lake,deep
202,alk_mglCaCO3,2020-08-11,2020-08-11,1,lake,deep
202,chla_ugl,2020-08-11,2020-08-11,1,lake,deep
202,conc_H_molpl,2020-08-11,2020-10-15,33,lake,deep
202,cond_uScm,2020-08-11,2020-10-15,33,lake,deep
202,DO_mgl,2020-08-11,2020-10-15,30,lake,deep
202,DO_pctsat,2020-08-11,2020-10-15,30,lake,deep
202,secchidepth_m,2020-08-11,2020-08-11,1,lake,deep
202,temp_C,2020-08-11,2020-10-15,30,lake,deep
202,TP_mgl,2020-08-11,2020-10-15,5,lake,deep
202,turb_NTU,2020-08-11,2020-10-15,31,lake,deep
205,TP_mgl,2020-10-15,2020-10-22,2,lake,deep
207,conc_H_molpl,2020-09-29,2020-09-29,7,lake,deep
207,cond_uScm,2020-09-29,2020-09-29,7,lake,deep
207,DO_mgl,2020-09-29,2020-09-29,7,lake,deep
207,DO_pctsat,2020-09-29,2020-09-29,7,lake,deep
207,temp_C,2020-09-29,2020-09-29,7,lake,deep
207,TP_mgl,2020-09-29,2020-10-22,2,lake,deep
207,turb_NTU,2020-09-29,2020-09-29,7,lake,deep
210,alk_mglCaCO3,1993-05-16,2020-09-15,147,lake,deep
210,chla_ugl,1992-07-01,2020-09-15,146,lake,deep
210,conc_H_molpl,1986-07-03,2020-10-29,699,lake,deep
210,cond_uScm,1986-07-03,2020-10-29,699,lake,deep
210,DO_mgl,1986-07-03,2020-10-29,4741,lake,deep
210,DO_pctsat,1986-07-03,2020-10-29,4739,lake,deep
210,secchidepth_m,1992-07-01,2020-09-15,146,lake,deep
210,temp_C,1986-07-03,2020-10-29,4741,lake,deep
210,TP_mgl,1986-07-03,2020-10-29,489,lake,deep
210,turb_NTU,1993-05-16,2020-10-29,620,lake,deep
215,conc_H_molpl,2020-10-05,2020-10-05,14,lake,deep
215,cond_uScm,2020-10-05,2020-10-05,14,lake,deep
215,DO_mgl,2020-10-05,2020-10-05,14,lake,deep
215,DO_pctsat,2020-10-05,2020-10-05,14,lake,deep
215,temp_C,2020-10-05,2020-10-05,14,lake,deep
215,TP_mgl,2020-10-05,2020-10-05,1,lake,deep
215,turb_NTU,2020-10-05,2020-10-05,14,lake,deep
216,conc_H_molpl,2020-09-15,2020-09-15,25,lake,deep
216,cond_uScm,2020-09-15,2020-09-15,25,lake,deep
216,DO_mgl,2020-09-15,2020-09-15,25,lake,deep
216,DO_pctsat,2020-09-15,2020-09-15,25,lake,deep
216,temp_C,2020-09-15,2020-09-15,25,lake,deep
216,turb_NTU,2020-09-15,2020-09-15,25,lake,deep
219,conc_H_molpl,2020-09-29,2020-09-29,9,lake,deep
219,cond_uScm,2020-09-29,2020-09-29,9,lake,deep
219,DO_mgl,2020-09-29,2020-09-29,9,lake,deep
219,DO_pctsat,2020-09-29,2020-09-29,9,lake,deep
219,temp_C,2020-09-29,2020-09-29,9,lake,deep
219,TP_mgl,2020-09-29,2020-09-29,1,lake,deep
219,turb_NTU,2020-09-29,2020-09-29,9,lake,deep
220,alk_mglCaCO3,1993-05-18,2020-06-22,136,lake,deep
220,chla_ugl,1993-05-18,2020-06-22,136,lake,deep
220,conc_H_molpl,1993-05-18,2020-10-29,463,lake,deep
220,cond_uScm,1993-05-18,2020-10-29,462,lake,deep
220,DO_mgl,1993-06-12,2020-10-29,3301,lake,deep
220,DO_pctsat,1993-06-12,2020-10-29,3301,lake,deep
220,secchidepth_m,1993-05-18,2020-06-22,136,lake,deep
220,temp_C,1993-06-12,2020-10-29,3303,lake,deep
220,TP_mgl,1993-06-13,2020-10-29,415,lake,deep
220,turb_NTU,1993-05-18,2020-10-29,462,lake,deep
222,alk_mglCaCO3,1998-09-09,1998-09-29,2,lake,deep
222,chla_ugl,1998-09-09,1998-09-29,2,lake,deep
222,conc_H_molpl,1998-09-09,1998-09-29,5,lake,deep
222,cond_uScm,1998-09-09,1998-09-29,5,lake,deep
222,DO_mgl,1998-09-09,1998-09-29,25,lake,deep
222,DO_pctsat,1998-09-09,1998-09-29,25,lake,deep
222,secchidepth_m,1998-09-09,1998-09-29,2,lake,deep
222,temp_C,1998-09-09,1998-09-29,25,lake,deep
222,TP_mgl,1998-09-09,1998-09-29,5,lake,deep
222,turb_NTU,1998-09-09,1998-09-29,5,lake,deep
225,alk_mglCaCO3,1997-06-03,1998-09-29,10,lake,deep
225,chla_ugl,1997-06-03,1998-09-29,10,lake,deep
225,conc_H_molpl,1997-06-03,1998-09-29,29,lake,deep
225,cond_uScm,1997-06-03,1998-09-29,29,lake,deep
225,DO_mgl,1997-06-03,1998-09-29,224,lake,deep
225,DO_pctsat,1997-06-03,1998-09-29,224,lake,deep
225,secchidepth_m,1997-06-03,1998-09-29,10,lake,deep
225,temp_C,1997-06-03,1998-09-29,224,lake,deep
225,TP_mgl,1997-06-03,1998-09-29,29,lake,deep
225,turb_NTU,1997-06-03,1998-09-29,29,lake,deep
226,TP_mgl,2020-10-15,2020-10-15,1,lake,deep
230,alk_mglCaCO3,1993-05-25,2020-07-15,140,lake,deep
230,chla_ugl,1986-07-03,2020-07-15,200,lake,deep
230,conc_H_molpl,1986-07-03,2020-08-11,492,lake,deep
230,cond_uScm,1986-07-03,2020-08-11,495,lake,deep
230,DO_mgl,1986-07-03,2020-08-11,3237,lake,deep
230,DO_pctsat,1986-07-03,2020-08-11,3237,lake,deep
230,secchidepth_m,1986-07-03,2020-07-15,200,lake,deep
230,temp_C,1986-07-03,2020-08-11,3237,lake,deep
230,TP_mgl,1986-07-03,2020-10-15,449,lake,deep
230,turb_NTU,1993-05-25,2020-08-11,424,lake,deep
30,alk_mglCaCO3,1993-05-18,2000-10-05,42,lake,cove
30,chla_ugl,1986-07-03,2020-09-15,147,lake,cove
30,cl_mgl,2020-09-15,2020-09-15,1,lake,cove
30,conc_H_molpl,1986-07-03,2020-09-15,152,lake,cove
30,cond_uScm,1986-07-03,2020-09-15,149,lake,cove
30,secchidepth_m,1986-07-03,2020-09-15,147,lake,cove
30,TP_mgl,1986-07-03,2020-09-15,149,lake,cove
30,turb_NTU,1993-05-18,2020-09-15,126,lake,cove
40,alk_mglCaCO3,1993-05-18,2000-10-03,38,lake,cove
40,chla_ugl,1988-08-11,2020-08-11,118,lake,cove
40,conc_H_molpl,1988-08-11,2020-08-11,51,lake,cove
40,cond_uScm,1988-08-11,2020-08-11,52,lake,cove
40,secchidepth_m,1988-08-11,2020-08-11,118,lake,cove
40,TP_mgl,1988-08-11,2020-08-11,47,lake,cove
40,turb_NTU,1993-05-18,2020-08-11,49,lake,cove
50,alk_mglCaCO3,1994-06-14,2000-09-10,32,lake,cove
50,chla_ugl,1994-06-14,2020-08-11,36,lake,cove
50,conc_H_molpl,1994-06-14,2020-08-11,37,lake,cove
50,cond_uScm,1994-06-14,2020-08-11,37,lake,cove
50,secchidepth_m,1994-06-14,2020-08-11,36,lake,cove
50,TP_mgl,1994-06-14,2020-08-11,31,lake,cove
50,turb_NTU,1994-06-14,2020-08-11,37,lake,cove
505,alk_mglCaCO3,1993-05-25,1993-09-08,2,stream,
505,cl_mgl,2020-03-16,2020-09-28,9,stream,
505,conc_H_molpl,1986-08-03,2020-09-28,247,stream,
505,cond_uScm,1986-07-03,2020-09-28,273,stream,
505,TP_mgl,1986-07-03,2020-09-28,301,stream,
505,turb_NTU,1993-05-25,2020-09-28,236,stream,
505.5,conc_H_molpl,1995-06-08,1995-06-08,1,stream,
505.5,cond_uScm,1995-06-08,1995-06-08,1,stream,
505.5,TP_mgl,1995-06-08,1995-06-08,1,stream,
505.5,turb_NTU,1995-06-08,1995-06-08,1,stream,
510,alk_mglCaCO3,1993-05-25,1993-05-25,1,stream,
510,cl_mgl,2020-03-16,2020-07-29,6,stream,
510,conc_H_molpl,1986-08-03,2020-07-29,213,stream,
510,cond_uScm,1986-07-03,2020-07-29,228,stream,
510,TP_mgl,1986-07-03,2020-07-29,253,stream,
510,turb_NTU,1993-05-25,2020-07-29,192,stream,
510.1,conc_H_molpl,1993-06-16,1993-08-18,10,stream,
510.1,cond_uScm,1993-06-16,1993-08-18,9,stream,
510.1,TP_mgl,1993-06-16,1993-08-18,10,stream,
510.1,turb_NTU,1993-06-16,1993-08-18,10,stream,
510.2,conc_H_molpl,1993-06-16,1993-08-18,10,stream,
510.2,cond_uScm,1993-06-16,1993-08-18,10,stream,
510.2,TP_mgl,1993-06-16,1993-08-18,10,stream,
510.2,turb_NTU,1993-06-16,1993-08-18,10,stream,
510.21,conc_H_molpl,1993-06-16,1993-08-18,10,stream,
510.21,cond_uScm,1993-06-16,1993-08-18,10,stream,
510.21,TP_mgl,1993-06-16,1993-08-18,9,stream,
510.21,turb_NTU,1993-06-16,1993-08-18,10,stream,
510.31,conc_H_molpl,1993-06-16,1993-08-18,8,stream,
510.31,cond_uScm,1993-06-16,1993-08-18,8,stream,
510.31,TP_mgl,1993-06-16,1993-08-18,8,stream,
510.31,turb_NTU,1993-06-16,1993-08-18,7,stream,
510.32,conc_H_molpl,1993-06-16,1993-08-18,9,stream,
510.32,cond_uScm,1993-06-16,1993-08-18,9,stream,
510.32,TP_mgl,1993-06-16,1993-08-18,9,stream,
510.32,turb_NTU,1993-06-16,1993-08-18,9,stream,
510.34,conc_H_molpl,1993-06-30,1993-08-18,8,stream,
510.34,cond_uScm,1993-06-30,1993-08-18,8,stream,
510.34,TP_mgl,1993-06-30,1993-08-18,8,stream,
510.34,turb_NTU,1993-06-30,1993-08-18,8,stream,
510.36,conc_H_molpl,1993-06-16,1993-06-23,2,stream,
510.36,cond_uScm,1993-06-16,1993-06-23,2,stream,
510.36,TP_mgl,1993-06-16,1993-06-23,2,stream,
510.36,turb_NTU,1993-06-16,1993-06-23,2,stream,
510.41,conc_H_molpl,1993-06-16,1993-08-18,10,stream,
510.41,cond_uScm,1993-06-16,1993-08-18,10,stream,
510.41,TP_mgl,1993-06-16,1993-08-18,10,stream,
510.41,turb_NTU,1993-06-16,1993-08-18,10,stream,
510.5,conc_H_molpl,1993-06-23,1993-06-23,1,stream,
510.5,cond_uScm,1993-06-16,1993-06-23,2,stream,
510.5,TP_mgl,1993-06-16,1993-06-23,2,stream,
510.5,turb_NTU,1993-06-16,1993-06-23,2,stream,
515,alk_mglCaCO3,1993-05-25,1993-05-25,1,stream,
515,conc_H_molpl,1989-03-16,1999-06-15,42,stream,
515,cond_uScm,1989-03-16,1999-06-15,45,stream,
515,TP_mgl,1989-03-16,1999-06-15,44,stream,
515,turb_NTU,1993-05-25,1999-06-15,27,stream,
515.1,cl_mgl,2020-03-20,2020-08-25,6,stream,
515.1,conc_H_molpl,1994-04-07,2020-08-25,157,stream,
515.1,cond_uScm,1994-04-07,2020-08-25,171,stream,
515.1,TP_mgl,1994-04-07,2020-08-25,169,stream,
515.1,turb_NTU,1994-04-07,2020-08-25,167,stream,
515.12,conc_H_molpl,1999-06-21,2002-06-11,4,stream,
515.12,cond_uScm,1999-06-21,2002-06-11,6,stream,
515.12,TP_mgl,1999-06-21,2002-06-11,6,stream,
515.12,turb_NTU,1999-06-21,2002-06-11,6,stream,
515.18,conc_H_molpl,1999-07-19,2001-07-26,3,stream,
515.18,cond_uScm,1999-07-19,2001-07-26,4,stream,
515.18,TP_mgl,1999-07-19,2001-07-26,4,stream,
515.18,turb_NTU,1999-07-19,2001-07-26,4,stream,
515.2,conc_H_molpl,1992-06-30,2000-07-31,14,stream,
515.2,cond_uScm,1992-06-30,2000-09-15,16,stream,
515.2,TP_mgl,1992-06-30,2000-09-15,16,stream,
515.2,turb_NTU,1992-06-30,2000-09-15,16,stream,
515.5,conc_H_molpl,1999-10-17,1999-10-17,1,stream,
515.5,cond_uScm,1999-10-17,1999-10-17,1,stream,
515.5,TP_mgl,1999-10-17,1999-10-17,1,stream,
515.5,turb_NTU,1999-10-17,1999-10-17,1,stream,
515.6,conc_H_molpl,2001-07-17,2001-07-26,2,stream,
515.6,cond_uScm,1997-04-18,2001-10-15,5,stream,
515.6,TP_mgl,1997-04-18,2001-10-15,5,stream,
515.6,turb_NTU,1997-04-18,2001-10-15,5,stream,
540,alk_mglCaCO3,1993-04-27,1993-04-27,1,stream,
540,cl_mgl,2020-05-26,2020-08-24,4,stream,
540,conc_H_molpl,1989-03-16,2020-08-24,183,stream,
540,cond_uScm,1989-04-26,2020-08-24,199,stream,
540,TP_mgl,1989-03-16,2020-08-24,205,stream,
540,turb_NTU,1993-06-20,2020-08-24,175,stream,
575,cl_mgl,2020-05-26,2020-10-05,4,stream,
575,conc_H_molpl,2017-05-08,2020-10-05,20,stream,
575,cond_uScm,2017-05-08,2020-10-05,20,stream,
575,TP_mgl,2017-05-08,2020-10-05,20,stream,
575,turb_NTU,2017-05-08,2020-07-27,19,stream,
575.1,conc_H_molpl,1994-07-20,1994-12-06,3,stream,
575.1,cond_uScm,1994-07-20,1994-12-06,3,stream,
575.1,TP_mgl,1994-07-20,1994-12-06,3,stream,
575.1,turb_NTU,1994-07-20,1994-12-06,3,stream,
575.3,conc_H_molpl,1994-07-20,1994-12-06,3,stream,
575.3,cond_uScm,1994-07-20,1994-12-06,3,stream,
575.3,TP_mgl,1994-07-20,1994-12-06,3,stream,
575.3,turb_NTU,1994-07-20,1994-12-06,3,stream,
575.5,conc_H_molpl,1994-07-20,1994-12-06,2,stream,
575.5,cond_uScm,1994-07-20,1994-12-06,2,stream,
575.5,TP_mgl,1994-07-20,1994-12-06,2,stream,
575.5,turb_NTU,1994-07-20,1994-12-06,2,stream,
590,conc_H_molpl,1998-03-10,2000-03-28,14,stream,
590,cond_uScm,1998-03-10,2000-03-28,15,stream,
590,TP_mgl,1998-03-10,2000-03-28,15,stream,
590,turb_NTU,1998-03-10,2000-03-28,15,stream,
590.1,conc_H_molpl,1998-03-31,1999-03-22,9,stream,
590.1,cond_uScm,1998-03-31,1999-03-22,9,stream,
590.1,TP_mgl,1998-03-31,1999-03-22,9,stream,
590.1,turb_NTU,1998-03-31,1999-03-22,9,stream,
590.2,conc_H_molpl,1998-04-08,1999-08-03,4,stream,
590.2,cond_uScm,1998-04-08,1999-08-03,4,stream,
590.2,TP_mgl,1998-04-08,1999-08-03,4,stream,
590.2,turb_NTU,1998-04-08,1999-08-03,4,stream,
60,alk_mglCaCO3,1993-06-16,2000-09-10,35,lake,cove
60,chla_ugl,1989-05-12,2020-09-15,143,lake,cove
60,cl_mgl,2020-09-15,2020-09-15,1,lake,cove
60,conc_H_molpl,1988-07-14,2020-09-15,94,lake,cove
60,cond_uScm,1988-07-14,2020-09-15,93,lake,cove
60,secchidepth_m,1989-05-12,2020-09-15,143,lake,cove
60,TP_mgl,1989-04-26,2020-09-15,94,lake,cove
60,turb_NTU,1993-06-16,2020-09-15,79,lake,cove
610,alk_mglCaCO3,1993-05-25,1993-05-25,1,stream,
610,cl_mgl,2020-05-26,2020-10-05,6,stream,
610,conc_H_molpl,1986-07-03,2020-10-05,189,stream,
610,cond_uScm,1986-07-03,2020-10-05,208,stream,
610,TP_mgl,1986-07-03,2020-10-05,207,stream,
610,turb_NTU,1993-05-25,2020-09-29,178,stream,
640,alk_mglCaCO3,1993-05-25,1993-05-25,1,stream,
640,conc_H_molpl,1989-06-28,2000-02-29,56,stream,
640,cond_uScm,1989-06-28,2000-02-29,58,stream,
640,TP_mgl,1989-06-28,2000-02-29,57,stream,
640,turb_NTU,1993-05-25,2000-02-29,45,stream,
640.1,cl_mgl,2020-05-26,2020-10-05,6,stream,
640.1,conc_H_molpl,2017-05-08,2020-10-05,23,stream,
640.1,cond_uScm,2017-05-08,2020-10-05,23,stream,
640.1,TP_mgl,2017-05-08,2020-10-05,23,stream,
640.1,turb_NTU,2017-05-08,2020-09-29,22,stream,
665,TP_mgl,2016-05-31,2016-07-20,7,stream,
670,alk_mglCaCO3,1993-05-30,1999-09-07,2,stream,
670,cl_mgl,2020-03-16,2020-09-30,8,stream,
670,conc_H_molpl,1986-07-03,2020-09-30,218,stream,
670,cond_uScm,1986-07-03,2020-09-30,244,stream,
670,TP_mgl,1986-07-03,2020-09-30,249,stream,
670,turb_NTU,1993-03-26,2020-09-30,207,stream,
670.1,conc_H_molpl,1996-03-29,1999-03-22,9,stream,
670.1,cond_uScm,1996-03-29,1999-03-22,10,stream,
670.1,TP_mgl,1996-03-29,1999-03-22,10,stream,
670.1,turb_NTU,1996-03-29,1999-03-22,10,stream,
670.5,alk_mglCaCO3,1999-09-07,1999-09-07,1,stream,
670.5,cl_mgl,2020-05-27,2020-08-26,3,stream,
670.5,conc_H_molpl,1993-06-13,2020-08-26,177,stream,
670.5,cond_uScm,1993-06-13,2020-08-26,194,stream,
670.5,TP_mgl,1993-06-13,2020-08-26,191,stream,
670.5,turb_NTU,1993-06-13,2020-08-26,193,stream,
675,cl_mgl,2020-05-27,2020-09-30,3,stream,
675,conc_H_molpl,1989-03-16,2020-09-30,198,stream,
675,cond_uScm,1989-03-16,2020-09-30,218,stream,
675,TP_mgl,1989-03-16,2020-09-30,232,stream,
675,turb_NTU,1993-05-30,2020-09-30,196,stream,
675.2,conc_H_molpl,1994-05-27,1996-08-05,18,stream,
675.2,cond_uScm,1994-05-27,1996-08-05,18,stream,
675.2,TP_mgl,1994-05-27,1996-08-05,17,stream,
675.2,turb_NTU,1994-05-27,1996-08-05,18,stream,
675.3,conc_H_molpl,1993-07-21,1993-08-25,6,stream,
