"DateTime","Depth","Secchi_m","extc_coef"
2013-10-16,1,2,1.17647058823529
2013-10-29,1,1.75,1.02941176470588
2014-04-08,1,2.5,1.47058823529412
2014-04-16,1,2.7,1.58823529411765
2014-04-21,1,2.5,1.47058823529412
2014-04-27,1,3.5,2.05882352941176
2014-04-30,1,3,1.76470588235294
2014-05-05,1,2.75,1.61764705882353
2014-05-12,1,2.5,1.47058823529412
2014-05-26,1,2.75,1.61764705882353
2014-06-02,1,2.75,1.61764705882353
2014-06-02,1,2.75,1.61764705882353
2014-06-09,1,2.7,1.58823529411765
2014-06-09,1,2.7,1.58823529411765
2014-06-16,1,3,1.76470588235294
2014-06-16,1,3,1.76470588235294
2014-06-23,1,3,1.76470588235294
2014-06-23,1,3,1.76470588235294
2014-06-30,1,3.25,1.91176470588235
2014-06-30,1,3.25,1.91176470588235
2014-07-07,1,3.25,1.91176470588235
2014-07-14,1,3.25,1.91176470588235
2014-07-14,1,3.25,1.91176470588235
2014-07-21,1,3.12,1.83529411764706
2014-07-28,1,3,1.76470588235294
2014-07-28,1,3,1.76470588235294
2014-08-04,1,3.2,1.88235294117647
2014-08-04,1,3.2,1.88235294117647
2014-08-11,1,2.8,1.64705882352941
2014-08-11,1,2.8,1.64705882352941
2014-08-18,1,2.55,1.5
2014-08-25,1,2.3,1.35294117647059
2014-08-25,1,2.3,1.35294117647059
2014-09-03,1,3.2,1.88235294117647
2014-09-03,1,3.2,1.88235294117647
2014-09-08,1,2.8,1.64705882352941
2014-09-15,1,2.4,1.41176470588235
2014-09-15,1,2.4,1.41176470588235
2014-09-22,1,2,1.17647058823529
2014-09-22,1,2,1.17647058823529
2014-09-29,1,1.7,1
2014-10-04,1,1.3,0.764705882352941
2014-10-15,1,1.1,0.647058823529412
2014-10-23,1,1.1,0.647058823529412
2014-11-10,1,1,0.588235294117647
2015-02-05,1,1.75,1.02941176470588
2015-03-06,1,1.8,1.05882352941176
2015-03-31,1,2,1.17647058823529
2015-04-07,1,2.25,1.32352941176471
2015-04-13,1,2.1,1.23529411764706
2015-04-21,1,1.4,0.823529411764706
2015-04-25,1,1.5,0.882352941176471
2015-04-28,1,2,1.17647058823529
2015-05-04,1,2.5,1.47058823529412
2015-05-04,1,2.5,1.47058823529412
2015-05-05,1,2.5,1.47058823529412
2015-05-11,1,3,1.76470588235294
2015-05-11,1,3,1.76470588235294
2015-05-18,1,2.8,1.64705882352941
2015-05-18,1,2.8,1.64705882352941
2015-05-25,1,2.5,1.47058823529412
2015-05-25,1,2.5,1.47058823529412
2015-06-01,1,2.9,1.70588235294118
2015-06-01,1,2.9,1.70588235294118
2015-06-08,1,1.7,1
2015-06-08,1,1.7,1
2015-06-15,1,2.4,1.41176470588235
2015-06-15,1,2.4,1.41176470588235
2015-06-22,1,2.33,1.37058823529412
2015-06-22,1,2.33,1.37058823529412
2015-06-22,1,2.33,1.37058823529412
2015-06-29,1,2.45,1.44117647058824
2015-06-29,1,2.45,1.44117647058824
2015-07-06,1,1.24,0.729411764705882
2015-07-06,1,1.24,0.729411764705882
2015-07-13,1,1.35,0.794117647058824
2015-07-13,1,1.35,0.794117647058824
2015-07-20,1,2.4,1.41176470588235
2015-07-20,1,2.4,1.41176470588235
2015-07-27,1,2.85,1.67647058823529
2015-07-27,1,2.85,1.67647058823529
2015-08-03,1,2.5,1.47058823529412
2015-08-03,1,2.5,1.47058823529412
2015-08-10,1,1.7,1
2015-08-10,1,1.7,1
2015-08-17,1,1.6,0.941176470588235
2015-08-17,1,1.6,0.941176470588235
2015-08-24,1,1.25,0.735294117647059
2015-08-24,1,1.25,0.735294117647059
