Reservoir,Site,DateTime,Depth_m,FE2_mmol_L,Fe2_mmol_m3,SO4_mmol_L,SO4_mmol_m3
FCR,50,5/16/16 12:00,9,0.0019548,1.9548,0.0179488,17.9488
FCR,50,5/23/16 12:00,9,0.0041261,4.1261,0.01723063,17.23063
FCR,50,5/30/16 12:00,9,0.006837,6.837,0.01818304,18.18304
FCR,50,5/30/16 12:00,9,0.0036504,3.6504,0.0134382,13.4382
FCR,50,5/31/16 12:00,9,0.0024312,2.4312,0.01792819,17.92819
FCR,50,6/6/16 12:00,9,0.0002756,0.2756,0.01767334,17.67334
FCR,50,6/13/16 12:00,9,0.0038528,3.8528,0.01741849,17.41849
FCR,50,6/20/16 12:00,9,0.0097598,9.7598,0.01716364,17.16364
FCR,50,6/27/16 12:00,9,0.0079319,7.9319,0.01781095,17.81095
FCR,50,6/28/16 12:00,9,0.006104,6.104,0.01845826,18.45826
FCR,50,6/30/16 12:00,9,0.0047912,4.7912,0.01638817,16.38817
FCR,50,7/5/16 12:00,9,0.0027188,2.7188,0.01543975,15.43975
FCR,50,7/11/16 12:00,9,0.0047,4.7,0.01482284,14.82284
FCR,50,7/18/16 12:00,9,0.0066812,6.6812,0.01365736,13.65736
FCR,50,7/25/16 12:00,9,0.0053729,5.3729,0.01204838,12.04838
FCR,50,7/27/16 12:00,9,0.0120909,12.0909,0.01524075,15.24075
FCR,50,8/1/16 12:00,9,0.00089534,0.89534,0.01181046,11.81046
FCR,50,8/8/16 12:00,9,0.00089534,0.89534,0.00983209,9.83209
FCR,50,8/15/16 12:00,9,0.0118947,11.8947,0.01910148,19.10148
FCR,50,8/26/16 12:00,9,0.01566985,15.66985,0.01510714,15.10714
FCR,50,9/2/16 12:00,9,0.019445,19.445,0.01111279,11.11279
FCR,50,9/9/16 12:00,9,0.0106999,10.6999,0.01608827,16.08827
FCR,50,9/20/16 12:00,9,0.0019548,1.9548,0.01435322,14.35322
FCR,50,9/30/16 12:00,9,0.0019548,1.9548,0.01284744,12.84744
FCR,50,10/7/16 12:00,9,0.0019548,1.9548,0.01277059,12.77059
FCR,50,10/14/16 12:00,9,0.00089534,0.89534,0.01527237,15.27237
,,,,,5.751479615,,15.35606
