par,lb,ub,x0
lw_factor,0.8,1.1,1
sed_temp_amplitude,2,12,4
sed_temp_amplitude,2,12,5
sed_temp_amplitude,2,12,7
sed_temp_mean,5,20,11
sed_temp_mean,5,22,13
sed_temp_mean,5,22,14
sed_temp_peak_doy,260,280,265
sed_temp_peak_doy,260,280,275
sed_temp_peak_doy,260,280,275
