par,lb,ub,x0
Fsed_ch4,0.1,500,15
Fsed_ch4,0.1,500,15
Fsed_ch4,0.1,500,232
Ksed_ch4,0.1,100,3
theta_sed_ch4,0.9,1.2,1.08
