"variable","proportion_imp"
"proLUws",0.0633252576556645
"proLU505",0.0708261810582879
"proLU510",0.0321576763485477
"proLU540",0.0172855313700384
"proLU665",0.0551403187138626
"proLU760",0.000639795265515035
"proLU788",0.0421097405359422
"proLU790",0.0423646907216495
"proLU800",0.0278937698346417
"proLU805",0.0782051282051282
"proLU830",0.17919921875
"proLU835",0.206971677559913
"proLUung",0.0637316647027752
